ULMeanNL,AttOutExecInterXn,SuccOutInterXn,ArfcnUL,NbrPktDL,NbrPktLossDL,RSRQ,Label
-96,178,122,343720,57394,17242,-12,2
-95,176,126,343720,171556,68337,-12,2
-94,187,141,344260,276306,64080,-12,2
-93,187,119,344260,61419,22033,-12,2
-98,191,121,343720,72010,25873,-11,2
-109,111,107,147600,18992,359,-11,0

-116,130,122,700129,412333,38055,-8,0
-114,138,138,158360,172097,12199,-9,0
-111,138,137,404720,234935,4269,-10,0
-108,121,114,158360,187784,3586,-11,0
-107,174,160,168200,53107,4257,-11,0
-111,153,142,378160,366583,14035,-10,0

-109,157,148,500860,61609,5047,-11,0
-111,204,200,651533,51969,1377,-10,0
-110,188,186,166560,577102,1288,-10,0
-108,130,127,163260,133350,5302,-11,0
-109,249,237,392000,133995,3600,-10,0
-109,103,100,166560,232761,15376,-10,0


-109,168,152,404520,344707,20979,-10,0
-87,213,60,165360,279090,168042,-16,3
-90,187,58,354480,161273,129286,-16,3
-90,165,40,139360,449844,278585,-16,3
-108,140,136,340180,49612,4582,-11,0
-105,135,125,340180,18374,721,-12,0

-97,128,103,520960,47484,15203,-11,1
-113,161,156,643314,344877,32950,-10,0
-116,134,123,168640,35821,178,-9,0
-115,130,126,529134,84809,4026,-9,0
-101,121,91,168740,35381,9289,-10,1
-109,189,185,379640,368289,35797,-10,0

-89,237,56,642370,151266,97341,-17,3
-84,185,45,524385,273872,187693,-17,3
-87,145,41,461520,484831,315597,-17,3
-88,169,43,642370,196095,137067,-15,3
-89,164,61,288800,323237,251227,-15,3
-88,210,58,166800,485616,325280,-17,3


-108,175,173,402660,26751,1271,-11,0
-87,168,51,285840,348168,225579,-16,3
-112,143,143,530340,332299,24518,-10,0
-92,187,68,146740,480290,352251,-14,3
-111,162,147,532050,174788,8857,-10,0
-86,156,33,498200,457851,419845,-18,3

-104,118,110,506490,257892,7721,-12,0
-96,206,136,507340,342088,86474,-12,2
-97,163,127,496960,188093,50743,-12,2
-95,244,149,462340,131857,33754,-12,2
-96,154,119,403780,79556,22121,-12,2
-97,151,91,395680,269917,73326,-12,2

