ULMeanNL,AttOutExecInterXn,SuccOutInterXn,ArfcnUL,NbrPktDL,NbrPktLossDL,RSRQ,Label
-112,137,130,379660,70822,2671,-10,0
-89,235,66,644118,510024,316491,-16,3
-91,202,45,530892,25897,17303,-15,3
-89,173,46,170960,422938,297642,-16,3
-104,192,182,163020,550521,45876,-12,0
-106,179,161,170960,94558,2984,-12,0

-88,254,94,402260,98311,71072,-16,3
-89,190,71,630876,294352,197861,-16,3
-86,237,108,471660,164997,99522,-17,3
-88,148,38,461180,177864,123373,-16,3
-91,165,38,148360,107457,91082,-14,3
-112,172,171,498880,119425,6169,-9,0

-90,168,59,181540,27766,12253,-16,3
-88,158,63,398160,334840,245141,-16,3
-110,174,163,640862,45458,4289,-10,0
-89,204,76,462300,59899,43442,-15,3
-111,151,139,167140,200061,16587,-9,0
-94,199,76,677536,70551,56362,-12,3


-111,179,176,402760,169129,10420,-10,0
-112,190,185,638642,397121,26746,-9,0
-114,122,115,157860,16949,824,-9,0
-111,130,126,497000,50470,2272,-9,0
-109,152,149,139080,464701,32009,-11,0
-105,158,146,170380,97165,4045,-12,0

-95,181,125,179260,29029,9494,-12,2
-98,247,193,179260,735540,287483,-11,2
-110,151,147,370580,537211,34415,-11,0
-110,180,167,169600,72923,1894,-10,0
-109,162,157,461840,236739,9023,-11,0
-94,213,164,469140,116835,38694,-12,2

-98,152,79,511962,22935,6282,-11,1
-97,99,59,378080,24343,7828,-11,1
-95,100,60,345600,37560,10260,-12,1
-94,132,82,355560,58726,15359,-12,1
-95,140,98,291380,57057,23519,-12,1
-93,138,105,289720,20902,6094,-12,1


-113,118,113,461540,146847,7998,-10,0
-110,112,106,169440,269224,14123,-10,0
-106,117,116,371060,82451,371,-11,0
-107,153,146,382620,333024,26793,-11,0
-108,138,129,148960,253439,1275,-11,0
-109,158,152,285840,377371,13772,-11,0

-106,100,98,286380,195561,15293,-11,0
-107,124,121,372900,79608,4513,-12,0
-108,165,157,403040,199344,8423,-11,0
-108,113,112,670761,103304,3364,-11,0
-108,142,129,626005,350959,22248,-10,0
-113,156,156,177780,457993,33714,-9,0

-105,97,95,176460,243218,2344,-12,0
-112,162,154,141240,188655,11912,-10,0
-113,139,126,723880,144018,13252,-9,0
-108,189,174,461160,33862,2247,-11,0
-107,144,130,504200,333682,1073,-11,0
-108,171,170,377420,366137,34441,-11,0


-97,187,157,527988,523932,88924,-11,1
-106,174,159,404280,570230,38170,-11,0
-110,201,188,504192,104916,8122,-10,0
-110,195,176,142980,93321,3796,-11,0
-100,173,136,147760,440287,107703,-11,1
-113,161,153,527988,114839,11093,-9,0

-116,175,160,178660,351774,26348,-9,0
-111,123,116,644380,42498,2645,-10,0
-108,200,190,520400,443322,10318,-11,0
-88,134,54,298600,138075,95429,-16,3
-85,268,53,461100,590904,414195,-17,3
-106,116,115,382400,197538,8782,-11,0

-84,189,61,500715,202551,149271,-18,3
-105,139,136,512260,29761,592,-12,0
-87,168,63,516120,77741,47995,-16,3
-108,168,153,181340,378781,19623,-11,0
-89,183,63,159100,214676,150936,-16,3
-88,191,59,501560,24809,17230,-14,3


-90,162,55,640688,389299,320526,-15,3
-89,168,58,375500,302923,210458,-15,3
-85,233,69,171120,89299,57434,-17,3
-84,172,60,178000,54264,41028,-17,3
-89,182,61,288960,353449,285925,-16,3
-87,152,44,537738,279265,190054,-15,3

-111,138,129,375320,123477,9224,-10,0
-93,240,82,642911,140518,104575,-14,3
-115,115,110,139480,224538,2358,-8,0
-111,125,113,621742,230487,12590,-10,0
-111,188,170,529060,305633,22845,-10,0
-113,209,207,177980,190221,12026,-9,0

-95,207,115,340700,100332,25532,-12,2
-105,132,126,350780,209342,6679,-12,0
-95,185,109,350780,226116,59974,-12,2
-96,183,135,350780,402222,121965,-12,2
-97,195,161,340700,148437,46590,-12,2
-95,218,160,340700,188618,55218,-12,2


-104,174,171,168340,162774,2123,-12,0
-104,191,190,138800,176615,1281,-12,0
-107,182,169,140620,216599,16555,-11,0
-110,104,101,383420,46515,1496,-10,0
-109,196,189,178800,94104,3842,-11,0
-94,148,106,170640,213360,78431,-12,2

-102,126,80,510990,142076,48685,-10,1
-111,174,158,177520,172001,6327,-10,0
-98,129,89,388280,274201,35093,-11,1
-106,164,163,502140,666014,41205,-12,0
-101,109,71,507879,29178,6762,-11,1
-102,132,99,158800,376888,139517,-9,1

-109,124,120,389560,42163,3577,-11,0
-110,162,146,525640,136145,3412,-10,0
-112,150,150,166500,26894,2317,-9,0
-111,181,167,639214,24624,2204,-10,0
-105,138,125,647417,292131,6714,-11,0
-110,183,175,497840,107312,999,-11,0


-99,173,116,513018,44450,15429,-11,1
-109,158,145,341200,297925,3228,-11,0
-100,178,131,286140,351165,139883,-11,1
-110,140,137,513018,320866,20443,-11,0
-99,121,80,639882,100349,29221,-10,1
-102,97,76,293520,76404,21005,-10,1

-86,181,75,461460,346788,186940,-18,3
-87,230,50,498800,141890,98971,-17,3
-107,175,160,293760,316524,19665,-11,0
-85,163,52,293760,177260,123799,-17,3
-89,168,57,165700,242684,148841,-15,3
-92,203,41,512472,112879,85376,-14,3

-95,157,116,176040,160749,54754,-12,2
-96,179,145,169500,293339,71126,-12,2
-96,175,135,172280,200380,57501,-12,2
-95,257,166,176040,39332,8313,-12,2
-105,155,154,167640,358987,8038,-12,0
-94,247,153,169500,162780,51876,-12,2


-113,166,165,285420,109611,9112,-9,0
-110,144,131,637752,21404,653,-10,0
-106,180,164,523668,294548,24026,-12,0
-106,173,171,511467,552331,15970,-12,0
-105,134,132,389840,25127,675,-11,0
-107,153,148,341260,236375,7603,-12,0

-86,190,26,285720,559379,343602,-17,3
-88,146,47,176120,49906,39333,-17,3
-84,169,80,165040,305362,193533,-18,3
-107,186,182,165040,631382,24913,-11,0
-109,153,149,509880,44717,903,-11,0
-85,187,32,535374,156462,106420,-18,3

-107,148,144,181000,291638,15681,-11,0
-106,162,153,292980,53576,2616,-11,0
-108,157,146,350200,67292,2713,-12,0
-106,130,126,374320,18602,1579,-12,0
-99,92,67,461180,111714,44213,-11,1
-108,139,130,646055,50772,4983,-11,0


-109,147,135,168900,183161,15353,-11,0
-88,244,70,286000,31674,21230,-17,3
-108,121,120,142760,189170,12680,-11,0
-88,162,44,350780,137671,82689,-16,3
-89,200,69,509832,139646,83160,-15,3
-113,126,121,141400,202660,5436,-9,0

-114,149,147,179980,110213,2065,-8,0
-114,137,132,668280,355960,20662,-8,0
-116,116,110,165000,145981,4689,-8,0
-113,150,141,710686,93113,8537,-9,0
-114,121,113,286380,404125,4365,-9,0
-112,126,125,705225,210417,6882,-9,0

-109,175,161,402120,23782,1481,-10,0
-103,164,116,141160,136050,37846,-9,1
-114,134,128,728116,24718,1737,-9,0
-96,135,95,503060,297234,98159,-11,1
-98,124,80,621506,196450,56309,-11,1
-100,122,88,386200,85202,31226,-10,1


-110,147,143,348020,51806,2377,-11,0
-99,89,53,527178,197277,44595,-11,1
-101,149,92,640552,217185,70876,-10,1
-100,156,129,146520,173232,32033,-10,1
-98,139,97,179540,435146,102105,-11,1
-109,165,154,373660,547129,4796,-11,0

-98,154,97,165520,67734,19950,-11,1
-98,129,79,342180,146601,44482,-11,1
-111,162,161,176360,387094,14827,-10,0
-113,166,157,628852,522793,5634,-9,0
-109,158,155,291780,250253,24886,-11,0
-94,83,49,345580,229754,60369,-12,1

-96,147,98,286300,344890,58909,-11,1
-98,144,91,388280,305823,78827,-11,1
-107,145,138,501580,440526,15819,-11,0
-96,96,70,348600,205016,89437,-11,1
-110,118,117,285960,63801,83,-10,0
-113,194,182,645765,158997,828,-9,0


-95,127,92,181180,94882,25408,-12,1
-97,106,73,177440,293963,101971,-11,1
-100,76,66,404980,134338,50644,-10,1
-103,130,79,145260,348264,89176,-9,1
-102,88,50,645462,44300,15436,-9,1
-103,132,98,285960,23731,6417,-9,1

-102,108,94,133640,83412,15923,-10,1
-109,144,131,352840,125188,5416,-11,0
-100,119,74,505520,93773,28035,-10,1
-100,106,62,140900,99415,28687,-10,1
-100,100,56,461120,32065,11123,-11,1
-107,183,174,371720,30864,1722,-11,0

-116,152,150,139420,91069,3446,-8,0
-110,135,128,710174,44929,1753,-10,0
-104,184,176,638981,126076,3474,-12,0
-111,192,191,657646,496557,15063,-10,0
-113,105,97,166380,127032,5921,-9,0
-112,129,119,524250,48492,1452,-9,0


-95,205,153,289320,224888,84103,-12,2
-95,167,123,289320,222642,57409,-12,2
-95,196,118,289320,63533,21729,-12,2
-94,149,92,289320,130090,57178,-12,2
-96,233,159,285860,110385,43019,-12,2
-96,190,129,176060,107669,44170,-11,2

-107,175,159,397700,364401,2222,-12,0
-99,102,78,462100,124316,37145,-11,1
-112,145,140,159160,500307,36309,-10,0
-113,157,144,513876,69886,25,-9,0
-101,96,62,165360,13214,2864,-9,1
-113,127,125,526455,164984,4028,-9,0

-105,117,117,168440,253881,12226,-12,0
-86,195,53,158500,318808,226813,-18,3
-106,180,176,165280,93576,8917,-11,0
-108,89,88,390640,30329,1666,-11,0
-111,196,185,534980,73498,2011,-10,0
-116,181,165,133780,90328,3723,-9,0


-107,182,179,462820,63648,3492,-11,0
-106,123,121,344440,31187,1219,-11,0
-85,191,44,373160,63578,43312,-17,3
-85,216,68,286140,269340,188654,-17,3
-106,97,97,136100,296333,20801,-11,0
-106,154,153,169940,254582,8784,-12,0

-104,170,113,180940,106041,25892,-9,1
-101,109,72,647765,62469,17909,-10,1
-99,119,84,647765,55385,20986,-11,1
-103,146,92,286840,354986,76101,-10,1
-98,135,81,402820,43670,14106,-11,1
-99,104,73,636986,104974,29191,-10,1

-94,210,163,508980,107305,39348,-12,2
-94,165,127,509460,20595,7268,-12,2
-94,277,199,509460,185356,53701,-12,2
-94,187,114,508980,361719,67355,-12,2
