ULMeanNL,AttOutExecInterXn,SuccOutInterXn,ArfcnUL,NbrPktDL,NbrPktLossDL,RSRQ,Label
-113,149,145,143800,65837,809,-8,0
-109,186,174,634900,96875,7744,-10,0
-107,164,155,639001,289339,10858,-11,0
-108,173,163,382260,94446,5084,-11,0
-87,178,54,386380,24190,18417,-18,3
-105,122,120,339400,24251,1080,-12,0

-105,172,171,387160,125553,11981,-12,0
-95,211,150,387160,615916,223055,-12,2
-94,186,120,387160,567635,164808,-12,2
-95,186,133,394320,81952,23035,-12,2
-98,174,105,403500,308098,127041,-11,2
-110,112,104,177240,37378,485,-10,0

-111,166,161,505520,62649,992,-10,0
-110,132,125,729287,295267,19513,-10,0
-111,137,135,508740,60983,345,-10,0
-115,144,133,134400,365768,26230,-9,0
-114,145,142,642873,24042,752,-9,0
-109,171,168,385440,340656,8588,-10,0


-112,218,198,293600,276287,2957,-9,0
-109,152,140,666020,280614,2580,-11,0
-106,132,131,626872,105433,8058,-12,0
-97,204,159,635834,269260,61976,-12,2
-106,139,138,527112,286309,8574,-12,0
-94,218,166,527112,462379,134262,-12,2

-104,183,167,158280,344939,5638,-12,0
-96,229,165,158280,325850,78861,-12,2
-95,155,106,158280,202481,60933,-12,2
-99,202,149,149060,221676,84883,-10,2
-114,160,149,649689,493613,37406,-8,0
-115,103,97,166200,30439,2141,-9,0

-110,155,142,638543,399687,3268,-10,0
-107,116,115,394680,265818,5000,-11,0
-87,175,48,350580,117815,82797,-17,3
-110,146,142,178240,361384,25100,-11,0
-107,100,94,143000,262112,20109,-11,0
-108,134,127,347940,20940,1288,-11,0


-107,155,141,377560,317100,4683,-12,0
-99,110,81,344320,330183,74665,-11,1
-104,117,92,723803,324659,106519,-9,1
-112,103,98,285660,159129,8266,-10,0
-96,135,110,398920,216759,60614,-11,1
-106,169,162,478660,467506,1822,-11,0

-96,269,173,402480,36036,7183,-12,2
-95,208,161,396100,107247,23498,-12,2
-95,142,91,392520,23154,8299,-12,2
-96,225,163,379020,291473,66250,-12,2
-94,197,133,379020,416960,92084,-12,2
-93,155,98,396100,119558,39730,-12,2

-109,173,158,286000,23447,1374,-11,0
-83,209,77,382600,202192,128283,-17,3
-86,160,42,394460,101661,93076,-17,3
-87,151,59,286000,166242,101480,-16,3
-90,164,57,521886,251101,148793,-15,3
-93,184,45,141040,444292,322642,-14,3


-100,190,137,498420,232725,49978,-10,1
-102,150,108,181820,54299,12552,-10,1
-101,95,75,509180,39189,6148,-10,1
-98,105,71,169640,27833,9820,-10,1
-95,134,93,285840,158837,55010,-12,1
-96,105,67,292500,101112,32562,-12,1

-110,156,141,146400,368596,23489,-10,0
-110,136,128,403960,460228,8055,-11,0
-106,171,155,511650,439634,3953,-12,0
-108,108,102,512240,92030,8452,-12,0
-109,147,140,403960,18181,1031,-11,0
-107,148,143,521180,92644,949,-11,0

-104,168,161,700337,404163,7721,-12,0
-96,218,151,668000,572941,178474,-12,2
-95,187,126,668000,97384,28160,-12,2
-97,242,183,700337,468065,121301,-12,2
-97,191,131,700337,45834,13137,-12,2
-94,175,124,708098,386192,149567,-12,2


-104,179,179,716252,488468,471,-12,0
-95,168,109,716252,192318,35696,-12,2
-100,222,157,732671,447608,115050,-10,2
-112,136,131,177520,53384,1435,-10,0
-94,189,133,177520,130035,29128,-12,2
-95,198,169,176600,130118,38649,-12,2

-108,161,160,387440,27069,836,-11,0
-111,137,126,516080,344980,12231,-10,0
-109,193,190,177260,148692,12126,-10,0
-106,175,158,289360,341334,17224,-11,0
-108,147,143,347760,70588,5708,-11,0
-109,127,119,164340,106890,8359,-11,0

-107,166,163,518058,23133,464,-11,0
-107,119,114,640239,112228,2700,-12,0
-96,246,176,641400,292117,112194,-12,2
-105,100,94,644416,125698,279,-12,0
-96,198,130,644416,500397,150418,-12,2
-108,118,113,532380,323758,25434,-11,0


-101,231,181,462880,422612,99085,-10,2
-109,120,111,141320,184078,7647,-11,0
-95,250,199,141520,679920,241134,-12,2
-107,172,157,170100,118997,876,-10,0
-112,108,106,628573,108286,3287,-9,0
-112,118,114,370020,78297,3053,-10,0

-88,212,30,370480,264389,145346,-17,3
-86,167,41,499338,29908,14901,-17,3
-85,206,87,470900,280795,226561,-18,3
-86,137,36,507924,305063,197671,-18,3
-87,194,51,470900,470451,330476,-18,3
-85,135,29,470900,24742,16779,-18,3

-96,103,82,462880,268013,67719,-12,1
-99,98,77,527286,28436,10443,-10,1
-100,85,61,136180,12334,2374,-10,1
-97,116,92,299180,224038,54160,-11,1
-111,194,185,165180,302649,5664,-10,0
-104,95,73,643606,130168,54178,-9,1


-95,179,136,285500,464124,61977,-12,2
-105,138,133,293380,48205,1126,-12,0
-95,209,158,293380,183802,85066,-12,2
-95,203,149,293380,32627,13202,-12,2
-96,140,86,293000,18217,5819,-12,2
-98,208,156,340400,98269,29005,-12,2

-90,194,51,285680,295016,216653,-14,3
-114,112,105,699308,97227,3081,-9,0
-114,134,132,170960,127199,10194,-8,0
-112,157,142,653894,19626,1156,-10,0
-106,183,171,637617,431484,43010,-11,0
-109,165,151,514840,84230,719,-11,0

-107,141,138,505596,314667,5239,-11,0
-108,119,112,340180,18139,1188,-11,0
-114,172,161,141200,102938,3439,-9,0
-115,168,153,693405,322120,29946,-9,0
-109,169,165,371280,188223,727,-10,0
-107,114,112,505596,285325,23203,-11,0


-99,172,140,638645,62186,17405,-10,1
-96,108,66,387420,50043,9659,-11,1
-97,119,76,377600,34897,12497,-11,1
-98,154,93,641932,226761,82314,-11,1
-95,83,48,642081,69758,24205,-12,1
-103,152,150,641932,425501,34659,-12,0

-111,169,162,352000,590724,10951,-10,0
-110,167,159,645784,216592,19261,-10,0
-109,214,213,370240,136902,2860,-11,0
-108,200,193,497920,572356,44254,-11,0
-108,126,124,389500,52339,699,-11,0
-106,200,187,351240,179506,10938,-12,0

-98,128,88,728536,99407,33138,-10,1
-98,121,78,498860,62489,18918,-11,1
-107,132,119,505780,47526,1276,-12,0
-99,116,89,632062,82735,20265,-11,1
-112,152,146,403820,101844,3548,-10,0
-109,165,162,140960,154247,13758,-10,0


-93,208,145,176220,607842,287110,-12,2
-94,154,103,176220,24222,8102,-12,2
